Group	ID	Age	Gender	Occupation	Dept	Education	KAI_real	KAI_SO	KAI_E	KAI_R
1	1	26	F	MA_student	ME/PD	Grad	1.54727764190244	1.82458651516262	0.689757034490236	1.12871610994213
1	2	25	M	MA_student	ME/PD	Grad	0.814106082354824	1.49709662782574	-1.09299960849991	1.00297054862232
1	3	37	M	MA_student	ME/PD	Grad	1.28066980206694	1.49709662782574	0.244067873742699	1.12871610994213
2	1	26	M	PhD_student	ME	PhD_student	-0.518933116822666	-0.959077527200862	0.244067873742699	-0.380230625895626
2	2	27	M	PhD_student	ME	PhD_student	-0.852192916617038	0.187137078478218	0.912601614864005	-2.26641404569282
2	3	27	M	PhD_student	ME	PhD_student	-1.38540859628803	-0.795332583532422	-1.31584418887368	-1.26044955513432
3	1	21	M	BA_student	ME	Undergrad	-1.78532035604128	-1.45031235820618	-1.31584418887368	-1.51194067777395
3	2	21	F	BA_student	BME	Undergrad	-0.185673317028294	-0.467842696195542	-0.201621287004838	0.122751619383627
3	3	21	M	BA_student	ME	Undergrad	-0.652237036740415	-1.45031235820618	0.689757034490236	-0.505976187215439
4	1	20	M	BA_student	ME/PD	Undergrad	0.814106082354824	1.00586179682042	0.466912454116467	0.499988303343067
4	2	20	M	BA_student	ME/PD	Undergrad	0.0809345228072043	-0.304097752527102	-0.424465867378607	0.62573386466288
4	3	20	F	BA_student	ME/PD	Undergrad	-2.05192819587678	-2.26903707654838	-0.647310447752376	-1.76343180041357
5	1	29	M	PhD_student	ME	PhD_student	1.54727764190244	1.00586179682042	2.69535825785415	0.62573386466288
5	2	30	M	PhD_student	ME	PhD_student	-0.119021357069419	-0.795332583532422	0.689757034490236	-0.00299394193618624
5	3	26	M	PhD_student	ME	PhD_student	-1.38540859628803	-1.61405730187462	-0.870155028126144	-0.883212871174879
6	1	22	F	BA_student	BS/PD	Undergrad	-1.51871251620578	-0.795332583532422	-1.31584418887368	-1.51194067777395
6	2	21	F	BA_student	BS/PD	Undergrad	-0.385629196904917	0.514626965815097	-0.870155028126144	-0.631721748535252
6	3	20	F	BA_student	BS/PD	Undergrad	-0.252325276987168	0.187137078478218	-1.09299960849991	-0.00299394193618624
7	1	27	M	Designer	MFA/PD	Grad	0.480846282560451	0.0233921348097776	0.689757034490236	0.499988303343067
7	2	33	M	Designer	ME/PD	Grad	0.347542362642702	0.350882022146657	0.244067873742699	0.24849718070344
7	3	27	F	Designer	MFA/PD	Grad	-0.252325276987168	0.187137078478218	-0.647310447752376	-0.254485064575813
8	1	28	F	Designer	MFA/PD	Grad	-0.518933116822666	-0.467842696195542	-0.870155028126144	-0.128739503255999
8	2	37	M	Designer	MFA/PD	Grad	0.747454122395949	0.0233921348097776	0.689757034490236	1.00297054862232
8	3	33	M	Designer	ME/PD	Grad	0.547498242519326	0.0233921348097776	-0.424465867378607	1.25446167126195
9	1	20	M	Designer	ME/PD	Grad	-0.652237036740415	-0.304097752527102	0.0212232933689303	-1.00895843249469
9	2	27	F	Designer	ME/PD	Grad	0.147586482766079	0.350882022146657	-0.424465867378607	0.24849718070344
9	3	27	M	Designer	ME/PD	Grad	-0.452281156863792	-0.140352808858662	0.244067873742699	-0.883212871174879
10	1	54	M	Designer	ME/PD	MSc	2.01384136161456	1.82458651516262	0.466912454116467	2.13468060050064
10	2	53	M	Designer	ME/PD	MSc	1.08071392219032	1.3333516841573	0.689757034490236	0.62573386466288
10	3	33	F	Designer	ME/PD	MSc/MFA	2.14714528153231	1.16960674048886	2.02682451673285	2.00893503918083
11	1	34	M	Designer	ME/PD	MSc	-0.385629196904917	-1.28656741453774	-0.870155028126144	0.751479425982693
11	2	31	M	Designer	ME/PD	MSc	0.480846282560451	1.66084157149418	0.466912454116467	-0.631721748535252
11	3	35	M	Designer	ME/PD	MSc	-0.185673317028294	0.187137078478218	-0.647310447752376	-0.128739503255999
12	1	26	F	Designer	ME/PD	Grad	1.08071392219032	0.842116853151977	1.80397993635908	0.374242742023253
12	2	35	M	Designer	ME/PD	MSc	0.147586482766079	0.350882022146657	-0.424465867378607	0.24849718070344
12	3	25	F	Designer	ME/PD	MSc	-0.385629196904917	-0.631587639863982	-0.870155028126144	0.24849718070344
13	1	34	F	Designer	ME/PD	Grad	-1.65201643612353	-0.959077527200862	-1.31584418887368	-1.63768623909376
13	2	32	F	Designer	ME/PD	Grad	0.147586482766079	-0.795332583532422	0.466912454116467	0.62573386466288
13	3	28	F	Designer	MFA/PD	Grad	0.280890402683828	-1.1228224708693	1.13544619523777	0.751479425982693
14	1	67	M	Engineer	CCRMA	PhD	0.747454122395949	0.187137078478218	1.80397993635908	0.24849718070344
14	2	52	M	Desginer	ME/Art	MSc	-0.918844876575913	0.350882022146657	-1.31584418887368	-1.26044955513432
14	3	77	M	Engineer	ME	PhD	0.0142825628483298	0.0233921348097776	-0.424465867378607	0.24849718070344
