index,confidence,hand,time,X_WRIST,Y_WRIST,Z_WRIST,X_THUMB_CMC,Y_THUMB_CMC,Z_THUMB_CMC,X_THUMB_MCP,Y_THUMB_MCP,Z_THUMB_MCP,X_THUMB_IP,Y_THUMB_IP,Z_THUMB_IP,X_THUMB_TIP,Y_THUMB_TIP,Z_THUMB_TIP,X_INDEX_MCP,Y_INDEX_MCP,Z_INDEX_MCP,X_INDEX_PIP,Y_INDEX_PIP,Z_INDEX_PIP,X_INDEX_DIP,Y_INDEX_DIP,Z_INDEX_DIP,X_INDEX_TIP,Y_INDEX_TIP,Z_INDEX_TIP,X_MIDDLE_MCP,Y_MIDDLE_MCP,Z_MIDDLE_MCP,X_MIDDLE_PIP,Y_MIDDLE_PIP,Z_MIDDLE_PIP,X_MIDDLE_DIP,Y_MIDDLE_DIP,Z_MIDDLE_DIP,X_MIDDLE_TIP,Y_MIDDLE_TIP,Z_MIDDLE_TIP,X_RING_MCP,Y_RING_MCP,Z_RING_MCP,X_RING_TIP,Y_RING_TIP,Z_RING_TIP,X_RING_DIP,Y_RING_DIP,Z_RING_DIP,X_RING_TIP,Y_RING_TIP,Z_RING_TIP,X_PINKY_MCP,Y_PINKY_MCP,Z_PINKY_MCP,X_PINKY_PIP,Y_PINKY_PIP,Z_PINKY_PIP,X_PINKY_DIP,Y_PINKY_DIP,Z_PINKY_DIP,X_PINKY_TIP,Y_PINKY_TIP,Z_PINKY_TIP
NA
2,  score: 0.5645073652267456,"  label: ""Right""",33,0.5586174130439758,0.5829145908355713,6.808224952692399e-06,0.537250280380249,0.5925558805465698,-0.018093211576342583,0.5238814949989319,0.5826754570007324,-0.03509195148944855,0.5129873752593994,0.5665661096572876,-0.045851461589336395,0.5021714568138123,0.5519896149635315,-0.05560372769832611,0.5319372415542603,0.5497474074363708,-0.053411807864904404,0.5194358825683594,0.5164569616317749,-0.0689166933298111,0.5130742192268372,0.4944519102573395,-0.07715385407209396,0.507568359375,0.47506606578826904,-0.08243323117494583,0.5454540848731995,0.5386978983879089,-0.046359460800886154,0.535856306552887,0.49969854950904846,-0.06372955441474915,0.5299004316329956,0.47301194071769714,-0.07155414670705795,0.5262330174446106,0.4514286518096924,-0.07729753851890564,0.5579150915145874,0.5327264666557312,-0.037268273532390594,0.5506449937820435,0.4950876235961914,-0.05030881240963936,0.5456822514533997,0.4685000479221344,-0.058809418231248856,0.5413042902946472,0.4472930431365967,-0.06524305045604706,0.5690093040466309,0.5311116576194763,-0.027393385767936707,0.5640473961830139,0.5001287460327148,-0.037653300911188126,0.5610361099243164,0.48087596893310547,-0.04495786502957344,0.5576785802841187,0.4647136330604553,-0.04966549202799797
3,  score: 0.7798986434936523,"  label: ""Right""",66,0.5583032369613647,0.5852362513542175,4.690662080975017e-06,0.5375596880912781,0.5958603024482727,-0.015492246486246586,0.5234284400939941,0.5853887796401978,-0.03042588382959366,0.5123458504676819,0.5682066679000854,-0.039187975227832794,0.5013300180435181,0.553711473941803,-0.04645071178674698,0.531787097454071,0.5501975417137146,-0.05244172364473343,0.5190868973731995,0.5162290334701538,-0.06849248707294464,0.5127310752868652,0.49483612179756165,-0.07673992216587067,0.5072953701019287,0.4765160083770752,-0.0811169371008873,0.5454204082489014,0.5382583737373352,-0.04542861506342888,0.5356694459915161,0.4978640675544739,-0.06403564661741257,0.5296156406402588,0.46984121203422546,-0.07332176715135574,0.5265188217163086,0.44710367918014526,-0.08021409064531326,0.5579352378845215,0.5321071147918701,-0.0359845869243145,0.5504223108291626,0.49335721135139465,-0.04907825589179993,0.5455003380775452,0.4655245840549469,-0.05751408264040947,0.541885495185852,0.44328683614730835,-0.06403907388448715,0.5690110325813293,0.5307429432868958,-0.02523496001958847,0.5641365051269531,0.4990042448043823,-0.0344097800552845,0.5614008903503418,0.4799636900424957,-0.04070983827114105,0.5585335493087769,0.4644704759120941,-0.04539385065436363
4,  score: 0.7257267236709595,"  label: ""Left""",99,0.5585793852806091,0.5841875076293945,1.7489294350525597e-06,0.5375280976295471,0.5936001539230347,-0.012861252762377262,0.5238625407218933,0.5838472247123718,-0.026481367647647858,0.5122689604759216,0.5667373538017273,-0.034972336143255234,0.5013372898101807,0.5526199340820312,-0.041595667600631714,0.530597448348999,0.5484793782234192,-0.0468510203063488,0.5179529190063477,0.5143136382102966,-0.0625346302986145,0.5121025443077087,0.49364155530929565,-0.07096154242753983,0.5072585940361023,0.47606950998306274,-0.07514114677906036,0.5442858934402466,0.5370365381240845,-0.041428785771131516,0.5348415970802307,0.4967886805534363,-0.059705689549446106,0.5289598107337952,0.46973592042922974,-0.0690496489405632,0.5251865983009338,0.44717133045196533,-0.07581968605518341,0.5571520924568176,0.5315352082252502,-0.03330351412296295,0.5504058599472046,0.4934190809726715,-0.04626726731657982,0.5458324551582336,0.4666554629802704,-0.05439296364784241,0.5424313545227051,0.4452444314956665,-0.06039256602525711,0.5686725378036499,0.5308874845504761,-0.024171670898795128,0.564723551273346,0.4991757273674011,-0.034295160323381424,0.5620638728141785,0.480299174785614,-0.040981534868478775,0.5588729381561279,0.46483051776885986,-0.045442134141922
5,  score: 0.9947049617767334,"  label: ""Left""",132,0.5559899210929871,0.5777915716171265,-1.9762064766837284e-05,0.5364989042282104,0.5860690474510193,-0.014449698850512505,0.5237542986869812,0.5783801674842834,-0.03161635249853134,0.5125616192817688,0.5650301575660706,-0.04299221187829971,0.5019727945327759,0.5531105995178223,-0.053134601563215256,0.53122478723526,0.5463215112686157,-0.05381359905004501,0.518754243850708,0.5138559937477112,-0.07135239988565445,0.5130795836448669,0.49418506026268005,-0.08001735061407089,0.508282482624054,0.477717787027359,-0.08417374640703201,0.5448876023292542,0.5356718897819519,-0.049119800329208374,0.5354674458503723,0.49635040760040283,-0.07017277926206589,0.5291310548782349,0.4697975218296051,-0.08005290478467941,0.5244287252426147,0.447671502828598,-0.08732699602842331,0.5577183961868286,0.5304256081581116,-0.04162340983748436,0.5507548451423645,0.49286991357803345,-0.05632142722606659,0.5459667444229126,0.46656715869903564,-0.06459760665893555,0.5416633486747742,0.4453073740005493,-0.07117979973554611,0.5686949491500854,0.5291667580604553,-0.032875578850507736,0.5646674036979675,0.4990991950035095,-0.043602004647254944,0.5620157718658447,0.48021653294563293,-0.05047450587153435,0.5581507086753845,0.46444883942604065,-0.05578949674963951
6,  score: 0.9167062044143677,"  label: ""Left""",165,0.5576329231262207,0.5788648128509521,-4.65726816401002e-06,0.5373327732086182,0.589004397392273,-0.015477973036468029,0.5240470170974731,0.5803322196006775,-0.03253376856446266,0.5124978423118591,0.5658584833145142,-0.04381660372018814,0.5015274286270142,0.5532925724983215,-0.05372902750968933,0.5313524007797241,0.5479563474655151,-0.05342118442058563,0.518703818321228,0.5145920515060425,-0.07040810585021973,0.5130026340484619,0.494548499584198,-0.0792388916015625,0.5082356929779053,0.47766533493995667,-0.08337743580341339,0.5449997186660767,0.5368185043334961,-0.04810553789138794,0.5353075861930847,0.4967535138130188,-0.06816421449184418,0.5290334224700928,0.4697747826576233,-0.07769085466861725,0.5246875882148743,0.44788920879364014,-0.08482083678245544,0.557731032371521,0.5311362147331238,-0.04027297720313072,0.5502598881721497,0.49298033118247986,-0.05476360768079758,0.5453735589981079,0.46587181091308594,-0.0636460930109024,0.5409314036369324,0.4443480968475342,-0.07069239020347595,0.5686740279197693,0.5298436880111694,-0.03133229538798332,0.5641767382621765,0.4992392063140869,-0.04192386940121651,0.56162029504776,0.4802536070346832,-0.04927625134587288,0.5579020380973816,0.4643644690513611,-0.0548325851559639
7,  score: 0.7430427074432373,"  label: ""Left""",198,0.5581274032592773,0.5819090008735657,1.2560851246234961e-05,0.537734866142273,0.5939018130302429,-0.016192615032196045,0.5238159894943237,0.5843310952186584,-0.03207962214946747,0.5129169821739197,0.5677505731582642,-0.04137885197997093,0.5016619563102722,0.5531219244003296,-0.04912806674838066,0.5316521525382996,0.5509893298149109,-0.05609976872801781,0.5186571478843689,0.5171350836753845,-0.07382771372795105,0.5124045014381409,0.4955160617828369,-0.08300990611314774,0.507206916809082,0.4770686626434326,-0.08764918893575668,0.5453856587409973,0.538497269153595,-0.04900231584906578,0.5353440046310425,0.49743416905403137,-0.06772464513778687,0.5291815996170044,0.4695911109447479,-0.07591819763183594,0.5258726477622986,0.447257399559021,-0.08176387846469879,0.5578818917274475,0.5315161943435669,-0.039524149149656296,0.5502722263336182,0.49294760823249817,-0.05365169420838356,0.5453464984893799,0.4659007489681244,-0.061501771211624146,0.5414855480194092,0.44456639885902405,-0.06689812242984772,0.5685943961143494,0.5292999148368835,-0.028688590973615646,0.5637881755828857,0.4979058802127838,-0.03937865048646927,0.561061680316925,0.47908711433410645,-0.04613230749964714,0.5579697489738464,0.463874489068985,-0.05065527930855751
NA
NA
10,  score: 0.9999988079071045,"  label: ""Right""",297,0.7181239724159241,0.1317049264907837,-2.6699519366957247e-05,0.6989338397979736,0.09896015375852585,0.01976686157286167,0.6761611700057983,0.08710800111293793,0.027046537026762962,0.6581580638885498,0.08860085159540176,0.03403445705771446,0.6479083299636841,0.0966603010892868,0.04132587090134621,0.6606484055519104,0.09250246733427048,-0.0009432384977117181,0.6358395218849182,0.09213179349899292,0.017561066895723343,0.6434214115142822,0.0917510986328125,0.034311242401599884,0.6530325412750244,0.09121330082416534,0.04355709254741669,0.6598771214485168,0.1143820732831955,-0.004613970406353474,0.638886570930481,0.11205271631479263,0.019755244255065918,0.6476038098335266,0.10895030945539474,0.03665876388549805,0.6557480096817017,0.10703229159116745,0.04205258935689926,0.6629530787467957,0.13381294906139374,-0.004922326188534498,0.6450269222259521,0.12681806087493896,0.019364599138498306,0.6529449224472046,0.12229618430137634,0.03273078799247742,0.6611194610595703,0.12174281477928162,0.034804996103048325,0.6682130098342896,0.1499689221382141,-0.0038159105461090803,0.6540542244911194,0.14076852798461914,0.016591576859354973,0.6604702472686768,0.1355045735836029,0.02787664346396923,0.6676777601242065,0.13551321625709534,0.032322101294994354
