index,confidence,hand,time,X_WRIST,Y_WRIST,Z_WRIST,X_THUMB_CMC,Y_THUMB_CMC,Z_THUMB_CMC,X_THUMB_MCP,Y_THUMB_MCP,Z_THUMB_MCP,X_THUMB_IP,Y_THUMB_IP,Z_THUMB_IP,X_THUMB_TIP,Y_THUMB_TIP,Z_THUMB_TIP,X_INDEX_MCP,Y_INDEX_MCP,Z_INDEX_MCP,X_INDEX_PIP,Y_INDEX_PIP,Z_INDEX_PIP,X_INDEX_DIP,Y_INDEX_DIP,Z_INDEX_DIP,X_INDEX_TIP,Y_INDEX_TIP,Z_INDEX_TIP,X_MIDDLE_MCP,Y_MIDDLE_MCP,Z_MIDDLE_MCP,X_MIDDLE_PIP,Y_MIDDLE_PIP,Z_MIDDLE_PIP,X_MIDDLE_DIP,Y_MIDDLE_DIP,Z_MIDDLE_DIP,X_MIDDLE_TIP,Y_MIDDLE_TIP,Z_MIDDLE_TIP,X_RING_MCP,Y_RING_MCP,Z_RING_MCP,X_RING_TIP,Y_RING_TIP,Z_RING_TIP,X_RING_DIP,Y_RING_DIP,Z_RING_DIP,X_RING_TIP,Y_RING_TIP,Z_RING_TIP,X_PINKY_MCP,Y_PINKY_MCP,Z_PINKY_MCP,X_PINKY_PIP,Y_PINKY_PIP,Z_PINKY_PIP,X_PINKY_DIP,Y_PINKY_DIP,Z_PINKY_DIP,X_PINKY_TIP,Y_PINKY_TIP,Z_PINKY_TIP
1,  score: 0.9999993443489075,"  label: ""Right""",0,0.5639663338661194,0.38763564825057983,-7.458478194166673e-06,0.539402186870575,0.37144818902015686,-0.010560831055045128,0.525155782699585,0.34533748030662537,-0.010947439819574356,0.5159196853637695,0.321034699678421,-0.0063773407600820065,0.5159346461296082,0.302966833114624,0.002876535290852189,0.5531740784645081,0.3041207790374756,-0.005864877253770828,0.5315805077552795,0.2798253297805786,-0.002439112402498722,0.5169716477394104,0.28518566489219666,-0.00043529467075131834,0.5115563273429871,0.29485052824020386,0.0008191516390070319,0.5588551759719849,0.3005685806274414,0.0024881395511329174,0.5347445011138916,0.2745974659919739,0.008092553354799747,0.5188412666320801,0.28256550431251526,0.010026865638792515,0.5136092901229858,0.2942027151584625,0.011129340156912804,0.5598379969596863,0.30350741744041443,0.010601210407912731,0.5378100275993347,0.27875444293022156,0.015960050746798515,0.5230803489685059,0.28537246584892273,0.016642380505800247,0.5174625515937805,0.29666468501091003,0.018497617915272713,0.5576149225234985,0.31030839681625366,0.017313385382294655,0.5409428477287292,0.29249030351638794,0.020477663725614548,0.5297685861587524,0.2922731339931488,0.021596966311335564,0.5233330130577087,0.2983132302761078,0.023327980190515518
1,  score: 0.7293915748596191,"  label: ""Right""",0,0.4401146471500397,0.46937018632888794,-1.4630389159719925e-05,0.46197617053985596,0.45931893587112427,-0.014672398567199707,0.4758020043373108,0.4412773847579956,-0.026318034157156944,0.4878968894481659,0.4226614832878113,-0.033176034688949585,0.49876877665519714,0.4077610671520233,-0.04007825627923012,0.4508192241191864,0.4072619080543518,-0.04025435075163841,0.45462918281555176,0.3652856945991516,-0.04795997962355614,0.4578697681427002,0.34194308519363403,-0.05011051148176193,0.4605415463447571,0.3242465555667877,-0.05110206827521324,0.43600159883499146,0.40520042181015015,-0.03261205554008484,0.43863749504089355,0.35903459787368774,-0.04396277666091919,0.44095855951309204,0.3318851590156555,-0.048126220703125,0.44215819239616394,0.3103770613670349,-0.05125461146235466,0.42445316910743713,0.40860357880592346,-0.023515308275818825,0.424111008644104,0.36668866872787476,-0.031151102855801582,0.4259369969367981,0.34098368883132935,-0.035374026745557785,0.4271773397922516,0.3218764364719391,-0.037944771349430084,0.4161539375782013,0.41610652208328247,-0.013426771387457848,0.41180282831192017,0.3825623393058777,-0.020234089344739914,0.41096824407577515,0.36372876167297363,-0.02436964213848114,0.4109625220298767,0.3484596312046051,-0.026891162618994713
2,  score: 0.9999999403953552,"  label: ""Right""",33,0.5662416219711304,0.38784265518188477,-5.705494913854636e-06,0.5406125783920288,0.3726884722709656,-0.010828851722180843,0.526031494140625,0.34556666016578674,-0.011810585856437683,0.5167560577392578,0.3196052312850952,-0.008599602617323399,0.5173961520195007,0.29953959584236145,-0.0004998570075258613,0.5532564520835876,0.30512139201164246,-0.003050730563700199,0.5337329506874084,0.28083497285842896,0.0006184590165503323,0.5190912485122681,0.284832239151001,0.0008078942191787064,0.5126675963401794,0.29410621523857117,0.0012669668067246675,0.5597051382064819,0.3027386963367462,0.0061401925049722195,0.5381396412849426,0.2759891450405121,0.011475913226604462,0.5217264890670776,0.2829408347606659,0.011881405487656593,0.5149719715118408,0.29444319009780884,0.011778402142226696,0.56151282787323,0.3068082332611084,0.014600254595279694,0.5423741340637207,0.2811774015426636,0.01964609883725643,0.5270842909812927,0.2864227592945099,0.020233433693647385,0.519665539264679,0.2979106903076172,0.0221405029296875,0.5598447918891907,0.3143182396888733,0.021674921736121178,0.5453572869300842,0.29657766222953796,0.02494962140917778,0.5341343283653259,0.29484403133392334,0.025033919140696526,0.5260701775550842,0.30014491081237793,0.02637767419219017
2,  score: 0.7482361793518066,"  label: ""Left""",33,0.43990615010261536,0.46922433376312256,-8.036899089347571e-06,0.46178197860717773,0.45991504192352295,-0.01546001061797142,0.47574055194854736,0.4420182704925537,-0.027816349640488625,0.4876132309436798,0.4233478605747223,-0.03548159822821617,0.49862951040267944,0.4077908396720886,-0.04350542277097702,0.45089828968048096,0.4074253439903259,-0.04020854830741882,0.4544818103313446,0.365832656621933,-0.04846852272748947,0.4578993022441864,0.34222981333732605,-0.0516204759478569,0.46058622002601624,0.32400721311569214,-0.05320439860224724,0.4361312985420227,0.40496838092803955,-0.03237335756421089,0.43806976079940796,0.3595903813838959,-0.044559575617313385,0.4402872622013092,0.33227044343948364,-0.04985710605978966,0.4413401484489441,0.310508131980896,-0.053927600383758545,0.4245474934577942,0.4082086682319641,-0.023404153063893318,0.4240981638431549,0.3668992221355438,-0.03186384588479996,0.4259134531021118,0.3408048450946808,-0.03766506165266037,0.42706799507141113,0.3209690451622009,-0.04168594628572464,0.4160245656967163,0.41594475507736206,-0.013422186486423016,0.4117453098297119,0.3830222189426422,-0.020865077152848244,0.4108884334564209,0.36404159665107727,-0.025758542120456696,0.41061365604400635,0.34863656759262085,-0.029266025871038437
3,  score: 0.9999833703041077,"  label: ""Right""",66,0.5656685829162598,0.38860413432121277,-6.488255166914314e-06,0.5419695973396301,0.3713456392288208,-0.020992916077375412,0.5284435749053955,0.3422407805919647,-0.02195107750594616,0.519870936870575,0.3145022988319397,-0.01515404786914587,0.5191382765769958,0.2948701083660126,-0.002663131570443511,0.5558220148086548,0.3020123839378357,-0.011621159501373768,0.5346544981002808,0.2758708894252777,-0.004222626332193613,0.5193488001823425,0.27925753593444824,0.0007490706630051136,0.5123594999313354,0.2871410846710205,0.0033732305746525526,0.5622331500053406,0.3008682131767273,0.004742806311696768,0.5393272042274475,0.2743774950504303,0.014286949299275875,0.5232037901878357,0.280500590801239,0.018273338675498962,0.5155768394470215,0.2908313274383545,0.01924627460539341,0.5632292628288269,0.3056597411632538,0.020518990233540535,0.5430070161819458,0.2821752429008484,0.02932491898536682,0.5290602445602417,0.2870739698410034,0.03004138171672821,0.5220703482627869,0.29763931035995483,0.030618852004408836,0.5613192319869995,0.3128401041030884,0.03368173912167549,0.546726644039154,0.2958040237426758,0.039773378521203995,0.5365884304046631,0.2951594889163971,0.03994357958436012,0.5294444561004639,0.30107563734054565,0.04062763974070549
3,  score: 0.8850551247596741,"  label: ""Left""",66,0.4396486282348633,0.4685542583465576,-1.1589597306738142e-05,0.46155282855033875,0.45973819494247437,-0.016584934666752815,0.47577977180480957,0.44285157322883606,-0.02983677014708519,0.4879557490348816,0.42471250891685486,-0.037499889731407166,0.4990669786930084,0.4094964861869812,-0.045287955552339554,0.45063063502311707,0.40769895911216736,-0.04492678865790367,0.4542521834373474,0.3657093346118927,-0.0538058765232563,0.4573337733745575,0.342132568359375,-0.056106626987457275,0.45991575717926025,0.32414644956588745,-0.057258203625679016,0.43577685952186584,0.4051055312156677,-0.036585114896297455,0.438501238822937,0.35952022671699524,-0.049267347902059555,0.44088372588157654,0.33213478326797485,-0.054062314331531525,0.44239547848701477,0.310242235660553,-0.05825038254261017,0.42424026131629944,0.40799325704574585,-0.02653457596898079,0.4244520366191864,0.36659666895866394,-0.035409197211265564,0.42681580781936646,0.3408367931842804,-0.04032924398779869,0.42865604162216187,0.321632981300354,-0.04369950294494629,0.4159586727619171,0.4154508113861084,-0.01566467061638832,0.4118354022502899,0.382655531167984,-0.02386578358709812,0.41082602739334106,0.36378416419029236,-0.029164189472794533,0.4106484055519104,0.348294734954834,-0.03267957270145416
4,  score: 0.9999607801437378,"  label: ""Right""",99,0.5680596232414246,0.38959580659866333,-1.0068125675388728e-06,0.5443204045295715,0.37038761377334595,-0.015653816983103752,0.5316115021705627,0.3414194583892822,-0.01501586101949215,0.5229668021202087,0.3152640163898468,-0.00859998632222414,0.5195245146751404,0.2953917980194092,0.0027983502950519323,0.5574313998222351,0.3032274544239044,-0.005201857537031174,0.5370189547538757,0.27640607953071594,-0.001152575365267694,0.5210995674133301,0.2773680090904236,0.00038029145798645914,0.5124741196632385,0.2831105589866638,0.0015143499476835132,0.563823401927948,0.30075952410697937,0.006726225838065147,0.5407785177230835,0.2725480794906616,0.012534843757748604,0.5235666036605835,0.27689531445503235,0.014149398542940617,0.5146058201789856,0.2858007550239563,0.01411780621856451,0.5647901892662048,0.30403634905815125,0.01793697662651539,0.5434620380401611,0.2786351442337036,0.023651529103517532,0.5286139845848083,0.2827151119709015,0.023353951051831245,0.5207885503768921,0.29224008321762085,0.024146800860762596,0.5628081560134888,0.3107978105545044,0.027180541306734085,0.5459072589874268,0.29397284984588623,0.03147270902991295,0.5347065925598145,0.29244837164878845,0.03129725903272629,0.5270746946334839,0.29657143354415894,0.03159486874938011
4,  score: 0.5784231424331665,"  label: ""Right""",99,0.4398452937602997,0.46894288063049316,-1.0701681276259478e-05,0.4621002972126007,0.4591175317764282,-0.013845367357134819,0.47607722878456116,0.44098082184791565,-0.02528451941907406,0.48807334899902344,0.42257416248321533,-0.03197392076253891,0.4993382692337036,0.40783679485321045,-0.03879769891500473,0.451314777135849,0.40734174847602844,-0.039954207837581635,0.4546457827091217,0.3654021620750427,-0.04751268029212952,0.4576753079891205,0.34183335304260254,-0.0494704470038414,0.45992398262023926,0.3238745629787445,-0.050579868257045746,0.43638285994529724,0.40528443455696106,-0.03278351202607155,0.4385729134082794,0.35946473479270935,-0.0444219745695591,0.44065722823143005,0.33238446712493896,-0.048674896359443665,0.4414087235927582,0.3108772337436676,-0.05193250998854637,0.42458876967430115,0.4086361825466156,-0.024098457768559456,0.4240477383136749,0.3669450283050537,-0.03194820135831833,0.42563262581825256,0.3413308560848236,-0.03598383814096451,0.4264710545539856,0.32211148738861084,-0.038316190242767334,0.4159538149833679,0.41608259081840515,-0.014426118694245815,0.4119042456150055,0.38224849104881287,-0.021380554884672165,0.41114240884780884,0.3634636104106903,-0.02502131089568138,0.4109177887439728,0.3483395576477051,-0.027195625007152557
5,  score: 0.9999992251396179,"  label: ""Right""",132,0.568350613117218,0.38666290044784546,-4.8715305638324935e-06,0.544399082660675,0.36512333154678345,-0.0036433397326618433,0.5325285792350769,0.33563053607940674,-0.0016561809461563826,0.5249815583229065,0.3106253147125244,0.0007432756829075515,0.5228157043457031,0.29190096259117126,0.005633742082864046,0.5564655065536499,0.300005704164505,0.0075341626070439816,0.5404255986213684,0.27391356229782104,0.008832204155623913,0.5256125330924988,0.27586326003074646,0.0068334368988871574,0.5176149010658264,0.2825670540332794,0.005143382586538792,0.5633561015129089,0.29934144020080566,0.009614923037588596,0.5451253652572632,0.2703326344490051,0.013094262219965458,0.5281155109405518,0.2753642201423645,0.012213115580379963,0.5197349190711975,0.28406864404678345,0.011547817848622799,0.5658798217773438,0.30426540970802307,0.010443578474223614,0.5489646792411804,0.27729541063308716,0.012934005819261074,0.5337007641792297,0.28142833709716797,0.012202675454318523,0.5252179503440857,0.28995612263679504,0.013537846505641937,0.5651435256004333,0.31307679414749146,0.01058143563568592,0.5512036085128784,0.29507681727409363,0.011597571894526482,0.5397906303405762,0.29214411973953247,0.011492636054754257,0.5312002301216125,0.2937730848789215,0.012961548753082752
5,  score: 0.6341674327850342,"  label: ""Right""",132,0.4399927854537964,0.4690752625465393,-8.14916620583972e-06,0.4618346691131592,0.45915931463241577,-0.014347079209983349,0.4759087860584259,0.4408453404903412,-0.02629769593477249,0.4881746768951416,0.42227673530578613,-0.03372516483068466,0.49939727783203125,0.4072738587856293,-0.0412060022354126,0.45099589228630066,0.4073145091533661,-0.04003463685512543,0.4542461335659027,0.36483168601989746,-0.048254482448101044,0.457191526889801,0.34112462401390076,-0.05066614970564842,0.4595955014228821,0.3231702446937561,-0.05171162262558937,0.43628495931625366,0.4052249789237976,-0.032952163368463516,0.438264399766922,0.35887008905410767,-0.044909123331308365,0.44029027223587036,0.33167871832847595,-0.049398742616176605,0.4410758912563324,0.31035298109054565,-0.05263591930270195,0.4247976839542389,0.40859824419021606,-0.024615658447146416,0.4239163100719452,0.3664911985397339,-0.03245089575648308,0.4256455898284912,0.34050554037094116,-0.03648233041167259,0.4267193078994751,0.32094693183898926,-0.038849130272865295,0.41639095544815063,0.41609835624694824,-0.01524302363395691,0.41181057691574097,0.38251879811286926,-0.022248346358537674,0.41099613904953003,0.36378929018974304,-0.025948453694581985,0.4108010232448578,0.34845075011253357,-0.028249425813555717
