index,confidence,hand,time,X_WRIST,Y_WRIST,Z_WRIST,X_THUMB_CMC,Y_THUMB_CMC,Z_THUMB_CMC,X_THUMB_MCP,Y_THUMB_MCP,Z_THUMB_MCP,X_THUMB_IP,Y_THUMB_IP,Z_THUMB_IP,X_THUMB_TIP,Y_THUMB_TIP,Z_THUMB_TIP,X_INDEX_MCP,Y_INDEX_MCP,Z_INDEX_MCP,X_INDEX_PIP,Y_INDEX_PIP,Z_INDEX_PIP,X_INDEX_DIP,Y_INDEX_DIP,Z_INDEX_DIP,X_INDEX_TIP,Y_INDEX_TIP,Z_INDEX_TIP,X_MIDDLE_MCP,Y_MIDDLE_MCP,Z_MIDDLE_MCP,X_MIDDLE_PIP,Y_MIDDLE_PIP,Z_MIDDLE_PIP,X_MIDDLE_DIP,Y_MIDDLE_DIP,Z_MIDDLE_DIP,X_MIDDLE_TIP,Y_MIDDLE_TIP,Z_MIDDLE_TIP,X_RING_MCP,Y_RING_MCP,Z_RING_MCP,X_RING_TIP,Y_RING_TIP,Z_RING_TIP,X_RING_DIP,Y_RING_DIP,Z_RING_DIP,X_RING_TIP,Y_RING_TIP,Z_RING_TIP,X_PINKY_MCP,Y_PINKY_MCP,Z_PINKY_MCP,X_PINKY_PIP,Y_PINKY_PIP,Z_PINKY_PIP,X_PINKY_DIP,Y_PINKY_DIP,Z_PINKY_DIP,X_PINKY_TIP,Y_PINKY_TIP,Z_PINKY_TIP
NA
2,  score: 0.884505033493042,"  label: ""Left""",33,0.48529237508773804,0.1923472136259079,-2.8640708478633314e-05,0.5077732801437378,0.17883317172527313,0.007675060536712408,0.5152595639228821,0.15497279167175293,0.011476397514343262,0.5134707689285278,0.135816752910614,0.017428496852517128,0.5063621997833252,0.12817105650901794,0.021678151562809944,0.5045086145401001,0.12528660893440247,-0.00927120354026556,0.5093809366226196,0.09055694937705994,-0.003666957840323448,0.513744592666626,0.07208999246358871,-0.001341769122518599,0.5162990689277649,0.05951981619000435,-0.0022967972327023745,0.4888032078742981,0.12399163842201233,-0.0045704650692641735,0.5004605054855347,0.11567437648773193,0.018140535801649094,0.5046705603599548,0.12640075385570526,0.030052730813622475,0.5043003559112549,0.13833867013454437,0.030191706493496895,0.4771266281604767,0.13118435442447662,0.002516064327210188,0.48914387822151184,0.12599071860313416,0.027877241373062134,0.4924503564834595,0.13598087430000305,0.03014863096177578,0.4914979636669159,0.14669735729694366,0.022342460229992867,0.4691832661628723,0.1408528983592987,0.009703968651592731,0.479227215051651,0.13366274535655975,0.028000345453619957,0.48292145133018494,0.14187362790107727,0.03139876574277878,0.48260536789894104,0.15093864500522614,0.02807050198316574
2,  score: 0.9999998211860657,"  label: ""Right""",33,0.7193737030029297,0.24054989218711853,6.879841384943575e-05,0.6657905578613281,0.2417718470096588,0.0645592212677002,0.6391662359237671,0.27192506194114685,0.10272730886936188,0.6270167827606201,0.30529454350471497,0.13525238633155823,0.6254211068153381,0.32374104857444763,0.16581062972545624,0.6378141641616821,0.36160457134246826,0.06946559995412827,0.6274359822273254,0.4195738732814789,0.11709383130073547,0.6280214190483093,0.4516686201095581,0.14310947060585022,0.6302378177642822,0.4722294509410858,0.15649397671222687,0.661908745765686,0.3933563530445099,0.05823387950658798,0.6643795967102051,0.4290236830711365,0.11993526667356491,0.6740150451660156,0.4141163229942322,0.14357788860797882,0.6792299747467041,0.3965175449848175,0.1498301923274994,0.6922323107719421,0.4090424180030823,0.05485454946756363,0.6931172609329224,0.4205973148345947,0.11544361710548401,0.7010023593902588,0.40351971983909607,0.1292785257101059,0.7085856199264526,0.3838220238685608,0.12074606865644455,0.722811222076416,0.4179255962371826,0.05442696437239647,0.7193374037742615,0.42501163482666016,0.1067071184515953,0.7228414416313171,0.4087086021900177,0.12400250136852264,0.7281156182289124,0.39004072546958923,0.12791132926940918
NA
4,  score: 0.9999995231628418,"  label: ""Left""",99,0.4686792492866516,0.22181770205497742,-2.415189919702243e-05,0.4731738269329071,0.20356981456279755,0.03243592754006386,0.47518035769462585,0.1815713346004486,0.050930701196193695,0.47564762830734253,0.1665319949388504,0.06316149234771729,0.47728219628334045,0.16008970141410828,0.06506508588790894,0.47345611453056335,0.1563299000263214,0.047345150262117386,0.4855940341949463,0.1502467542886734,0.06563252955675125,0.4894888997077942,0.16023658215999603,0.05715406313538551,0.4889744520187378,0.16375038027763367,0.04746277630329132,0.4736350476741791,0.15251852571964264,0.03706881403923035,0.4871845245361328,0.14957885444164276,0.06355758756399155,0.48812687397003174,0.165398508310318,0.05161600559949875,0.4855755865573883,0.17836636304855347,0.03617670387029648,0.4761160612106323,0.1506061553955078,0.03116093948483467,0.48853740096092224,0.14797139167785645,0.053362976759672165,0.49180868268013,0.16315880417823792,0.03970988094806671,0.4903373122215271,0.1747215986251831,0.02445501647889614,0.4810481071472168,0.14985224604606628,0.029260683804750443,0.48749101161956787,0.12444432824850082,0.04300981014966965,0.4914790987968445,0.11045435070991516,0.05148785933852196,0.4934934079647064,0.10176610201597214,0.055245865136384964
NA
NA
NA
8,  score: 0.9996808767318726,"  label: ""Left""",231,0.45630162954330444,0.2885271906852722,-2.4038759875111282e-05,0.4792824685573578,0.25344187021255493,0.016315104439854622,0.4849797189235687,0.2262277901172638,0.022754279896616936,0.48709675669670105,0.20566971600055695,0.02751472406089306,0.4869285821914673,0.19662140309810638,0.029468044638633728,0.46754568815231323,0.2027737945318222,0.016245028004050255,0.4737423360347748,0.1683737337589264,0.025224866345524788,0.4770650565624237,0.15540750324726105,0.026755789294838905,0.47808271646499634,0.1453012228012085,0.02542327716946602,0.455049604177475,0.20525766909122467,0.011744394898414612,0.4698812961578369,0.19571304321289062,0.03208035230636597,0.4748269021511078,0.20892339944839478,0.031311891973018646,0.4758758544921875,0.21987201273441315,0.021089838817715645,0.4483072757720947,0.21326398849487305,0.010456694290041924,0.46377047896385193,0.20468099415302277,0.03194152191281319,0.46914806962013245,0.21438750624656677,0.0283212848007679,0.47123920917510986,0.2247999906539917,0.015923844650387764,0.4452245831489563,0.22209441661834717,0.009142959490418434,0.4546657204627991,0.2058514505624771,0.024318980053067207,0.46075254678726196,0.2080415040254593,0.025772910565137863,0.46527016162872314,0.2137167900800705,0.02048466168344021
9,  score: 0.8006699681282043,"  label: ""Right""",264,0.45991212129592896,0.2834908366203308,-3.3578038710402325e-05,0.4810585379600525,0.2702081799507141,0.0007143495604395866,0.48948749899864197,0.24343422055244446,0.0033777193166315556,0.49070289731025696,0.22195130586624146,0.00900538545101881,0.4926123023033142,0.20636355876922607,0.011419138871133327,0.4745977520942688,0.21402625739574432,-0.011951034888625145,0.476441353559494,0.1771262139081955,-0.007276569027453661,0.47820332646369934,0.15681129693984985,-0.004419436678290367,0.4783552289009094,0.14228296279907227,-0.00390919204801321,0.4612360894680023,0.21436071395874023,-0.004686552565544844,0.4711668789386749,0.20095889270305634,0.01252908818423748,0.4763844609260559,0.2135235071182251,0.02112428843975067,0.47686365246772766,0.22490203380584717,0.019201084971427917,0.45084553956985474,0.22077682614326477,0.004270337987691164,0.4627286493778229,0.21300406754016876,0.02417391538619995,0.46747544407844543,0.2234569787979126,0.028180625289678574,0.46757787466049194,0.23340624570846558,0.02240680530667305,0.44308096170425415,0.22911785542964935,0.013605526648461819,0.45442232489585876,0.22265669703483582,0.030864829197525978,0.45975103974342346,0.2293757200241089,0.03584762290120125,0.46027839183807373,0.23757369816303253,0.03415264934301376
