index,confidence,hand,time,X_WRIST,Y_WRIST,Z_WRIST,X_THUMB_CMC,Y_THUMB_CMC,Z_THUMB_CMC,X_THUMB_MCP,Y_THUMB_MCP,Z_THUMB_MCP,X_THUMB_IP,Y_THUMB_IP,Z_THUMB_IP,X_THUMB_TIP,Y_THUMB_TIP,Z_THUMB_TIP,X_INDEX_MCP,Y_INDEX_MCP,Z_INDEX_MCP,X_INDEX_PIP,Y_INDEX_PIP,Z_INDEX_PIP,X_INDEX_DIP,Y_INDEX_DIP,Z_INDEX_DIP,X_INDEX_TIP,Y_INDEX_TIP,Z_INDEX_TIP,X_MIDDLE_MCP,Y_MIDDLE_MCP,Z_MIDDLE_MCP,X_MIDDLE_PIP,Y_MIDDLE_PIP,Z_MIDDLE_PIP,X_MIDDLE_DIP,Y_MIDDLE_DIP,Z_MIDDLE_DIP,X_MIDDLE_TIP,Y_MIDDLE_TIP,Z_MIDDLE_TIP,X_RING_MCP,Y_RING_MCP,Z_RING_MCP,X_RING_TIP,Y_RING_TIP,Z_RING_TIP,X_RING_DIP,Y_RING_DIP,Z_RING_DIP,X_RING_TIP,Y_RING_TIP,Z_RING_TIP,X_PINKY_MCP,Y_PINKY_MCP,Z_PINKY_MCP,X_PINKY_PIP,Y_PINKY_PIP,Z_PINKY_PIP,X_PINKY_DIP,Y_PINKY_DIP,Z_PINKY_DIP,X_PINKY_TIP,Y_PINKY_TIP,Z_PINKY_TIP
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
29,  score: 0.9264800548553467,"  label: ""Right""",924,0.6804282069206238,0.7961089015007019,3.9734186429996043e-05,0.6600052714347839,0.8047482967376709,-0.023997005075216293,0.6436297297477722,0.8026784658432007,-0.04718790203332901,0.6277081370353699,0.8013352155685425,-0.06620554625988007,0.6109108328819275,0.7976584434509277,-0.08751130104064941,0.6650457382202148,0.8149193525314331,-0.08379397541284561,0.6539388298988342,0.7846647500991821,-0.10678212344646454,0.6441991925239563,0.7618679404258728,-0.11651518195867538,0.6378664374351501,0.7416456937789917,-0.12295448780059814,0.6756075024604797,0.8095143437385559,-0.0803876742720604,0.6651558876037598,0.7729387283325195,-0.10867706686258316,0.6542171239852905,0.7472230195999146,-0.11852134019136429,0.6474143862724304,0.7302604913711548,-0.1231289729475975,0.682007908821106,0.800861120223999,-0.074356809258461,0.672028660774231,0.7683436870574951,-0.09949339926242828,0.6605019569396973,0.7456267476081848,-0.11033860594034195,0.6531870365142822,0.7307031750679016,-0.11456763744354248,0.686469316482544,0.7917081713676453,-0.06829197704792023,0.6748183369636536,0.7747960090637207,-0.08837447315454483,0.6629604697227478,0.7624008655548096,-0.0981442779302597,0.655015766620636,0.7534080147743225,-0.10446248948574066
30,  score: 0.9999373555183411,"  label: ""Right""",957,0.6642481684684753,0.8249674439430237,2.0699959350167774e-05,0.6618108749389648,0.8136078119277954,-0.02076631970703602,0.6544402837753296,0.7874531745910645,-0.043383367359638214,0.6418952941894531,0.769503116607666,-0.06204843148589134,0.6275963187217712,0.7565980553627014,-0.08072306960821152,0.6686024069786072,0.8017556667327881,-0.08423875272274017,0.65928715467453,0.7657393217086792,-0.11142244189977646,0.6512904167175293,0.7424834966659546,-0.12146326154470444,0.6467974781990051,0.7203599214553833,-0.12671509385108948,0.6660006642341614,0.8056407570838928,-0.08314134925603867,0.655541718006134,0.764467179775238,-0.11444315314292908,0.6456810235977173,0.7377667427062988,-0.12564541399478912,0.6395890712738037,0.7197263836860657,-0.13033567368984222,0.6595956683158875,0.80729079246521,-0.07979106158018112,0.6494000554084778,0.7716707587242126,-0.1087915301322937,0.6399199962615967,0.74838787317276,-0.1185121163725853,0.6346845030784607,0.7312554717063904,-0.12314045429229736,0.6522748470306396,0.8084058165550232,-0.07684149593114853,0.6397388577461243,0.7908453941345215,-0.10201342403888702,0.6294897198677063,0.7780822515487671,-0.11557416617870331,0.6234639883041382,0.7658752799034119,-0.123395636677742
30,  score: 0.9973494410514832,"  label: ""Left""",957,0.4306814968585968,0.7146984934806824,-3.972478589275852e-05,0.45200544595718384,0.703755259513855,-0.00704681221395731,0.46414509415626526,0.6814418435096741,-0.004198556765913963,0.4703195095062256,0.6613935828208923,0.0038980371318757534,0.47454357147216797,0.6463672518730164,0.013848338276147842,0.4448882043361664,0.6484516859054565,-0.012493915855884552,0.45430466532707214,0.6168423295021057,-0.005019755568355322,0.462228924036026,0.60185307264328,0.002065514214336872,0.4687245786190033,0.5931601524353027,0.006931724492460489,0.4345994293689728,0.6458091139793396,0.0013501144712790847,0.4470187723636627,0.616998016834259,0.015495188534259796,0.45813995599746704,0.6079477071762085,0.030397063121199608,0.4666110873222351,0.6042779088020325,0.03926211595535278,0.42887061834335327,0.6475590467453003,0.015687724575400352,0.4401770830154419,0.6243505477905273,0.029543321579694748,0.4511334002017975,0.6183596849441528,0.04059651494026184,0.45926105976104736,0.6185302734375,0.04676806181669235,0.42625272274017334,0.6519960761070251,0.029744034633040428,0.4356449246406555,0.6343963146209717,0.042305514216423035,0.4443318247795105,0.6278242468833923,0.04958181083202362,0.45095115900039673,0.6264768242835999,0.05453747138381004
31,  score: 0.9999990463256836,"  label: ""Left""",990,0.6556127667427063,0.8416076898574829,-3.527077205944806e-05,0.6298572421073914,0.8387819528579712,-0.008757034316658974,0.6129307746887207,0.8201369047164917,-0.02181837148964405,0.6008490324020386,0.8003059029579163,-0.029454752802848816,0.5863209962844849,0.7887778282165527,-0.03804093226790428,0.6248438358306885,0.8141756057739258,-0.06438896059989929,0.6113530993461609,0.7776834964752197,-0.08730944991111755,0.603697657585144,0.7562536001205444,-0.09516824781894684,0.5980792045593262,0.7379317879676819,-0.09703800082206726,0.6423377394676208,0.8022483587265015,-0.061478789895772934,0.6328637003898621,0.761444628238678,-0.08508680760860443,0.6263912320137024,0.7359402179718018,-0.09121613204479218,0.6227668523788452,0.7168526649475098,-0.09400717169046402,0.6567796468734741,0.7936099767684937,-0.055555567145347595,0.651653528213501,0.752507209777832,-0.07299453765153885,0.6468073129653931,0.7257505655288696,-0.080362968146801,0.643500030040741,0.7052732706069946,-0.08569803088903427,0.6684436202049255,0.7884167432785034,-0.04716549441218376,0.6653437614440918,0.7546582221984863,-0.057539068162441254,0.6620201468467712,0.7339658141136169,-0.06328428536653519,0.6593523025512695,0.7161420583724976,-0.06904754042625427
31,  score: 0.9920938014984131,"  label: ""Left""",990,0.44423237442970276,0.7036423087120056,-3.2362862839363515e-05,0.4683998227119446,0.6903404593467712,-0.0043732887133955956,0.4800923764705658,0.6642343401908875,0.00048063701251521707,0.48434656858444214,0.6410965323448181,0.009763825684785843,0.4917543828487396,0.6258273720741272,0.020149989053606987,0.46376150846481323,0.6307381987571716,-0.003207469591870904,0.4745841920375824,0.602479100227356,0.01167271938174963,0.4821278154850006,0.5948002338409424,0.026951827108860016,0.48782479763031006,0.5916183590888977,0.037603478878736496,0.4518275558948517,0.6290719509124756,0.008791527710855007,0.4644129276275635,0.6042022705078125,0.02890610322356224,0.4746038615703583,0.6023420095443726,0.045145779848098755,0.48128271102905273,0.6040858030319214,0.053843725472688675,0.44367745518684387,0.6329702138900757,0.02201625145971775,0.4560938775539398,0.6143680214881897,0.04072832316160202,0.46582919359207153,0.6151151657104492,0.05116530507802963,0.4720589816570282,0.6200326085090637,0.05505220964550972,0.43855729699134827,0.6394109129905701,0.03469662740826607,0.4484429657459259,0.6240628361701965,0.048705048859119415,0.456720769405365,0.6229280829429626,0.05602271109819412,0.4623054265975952,0.6258865594863892,0.06075935810804367
32,  score: 0.9999997019767761,"  label: ""Left""",1023,0.6466325521469116,0.8453893661499023,-2.141113691322971e-05,0.6219430565834045,0.8427786231040955,-0.001010639825835824,0.6028359532356262,0.8205064535140991,-0.009275083430111408,0.5891515016555786,0.798859179019928,-0.013445050455629826,0.5734015107154846,0.7881976962089539,-0.01881500706076622,0.6079559922218323,0.8159149885177612,-0.05634220317006111,0.5932229161262512,0.7793100476264954,-0.07587986439466476,0.5857983827590942,0.7561266422271729,-0.08190291374921799,0.5805349349975586,0.736770510673523,-0.08354277163743973,0.623366117477417,0.8050006031990051,-0.055240698158741,0.6143275499343872,0.7636430263519287,-0.07511354982852936,0.6084598302841187,0.7385131120681763,-0.07643020153045654,0.6047894954681396,0.7207098603248596,-0.07570581138134003,0.6377159953117371,0.7957539558410645,-0.05141516774892807,0.6326972842216492,0.7538790106773376,-0.06686382740736008,0.6278122067451477,0.7288970351219177,-0.069428950548172,0.6239119172096252,0.7113157510757446,-0.06983690708875656,0.6503571271896362,0.7888609766960144,-0.04470879212021828,0.6464471817016602,0.753485918045044,-0.05526101589202881,0.6443271636962891,0.7325760126113892,-0.0597633458673954,0.6424844264984131,0.7142971754074097,-0.063299261033535
32,  score: 0.6258989572525024,"  label: ""Right""",1023,0.45969653129577637,0.6829038262367249,-3.246969572501257e-05,0.48299160599708557,0.671324610710144,-0.008855551481246948,0.49360138177871704,0.6456407308578491,-0.00949438102543354,0.4979938566684723,0.6216373443603516,-0.0029950146563351154,0.5030399560928345,0.6048670411109924,0.005575993098318577,0.4775928258895874,0.6168094873428345,-0.025233333930373192,0.4916015565395355,0.5853767395019531,-0.009388335980474949,0.4989513158798218,0.5949828028678894,0.008363575674593449,0.49862587451934814,0.6066831350326538,0.018141211941838264,0.46615070104599,0.6142999529838562,-0.013191306963562965,0.4806898832321167,0.5843337178230286,0.0056101055815815926,0.48876047134399414,0.5943242907524109,0.02320297621190548,0.48998746275901794,0.6049327254295349,0.031129425391554832,0.458464115858078,0.6171542406082153,0.0011023051338270307,0.4725830852985382,0.5941517949104309,0.018870621919631958,0.47965261340141296,0.603134036064148,0.02952519804239273,0.48001229763031006,0.6134564876556396,0.03262576088309288,0.45390018820762634,0.621952474117279,0.015239818952977657,0.46546289324760437,0.6045977473258972,0.028723329305648804,0.47147586941719055,0.6101093888282776,0.03507258743047714,0.47221148014068604,0.6182639598846436,0.03820861876010895
33,  score: 0.9999994039535522,"  label: ""Left""",1056,0.6347805857658386,0.8451052904129028,-1.3300991668074857e-05,0.6115943789482117,0.8451665043830872,0.0007655589142814279,0.5921601057052612,0.8254275918006897,-0.008105628192424774,0.5806238651275635,0.80292809009552,-0.014151113107800484,0.5715091228485107,0.7878872752189636,-0.019284836947917938,0.5954368710517883,0.8241285681724548,-0.05425788462162018,0.5794306993484497,0.7950147390365601,-0.07285866886377335,0.5689402222633362,0.7763974070549011,-0.07707999646663666,0.5609250068664551,0.761245608329773,-0.07952103763818741,0.6086009740829468,0.8138842582702637,-0.0558801032602787,0.5963893532752991,0.7807453274726868,-0.07760121673345566,0.5868747234344482,0.759107768535614,-0.08176136016845703,0.5812307596206665,0.7416420578956604,-0.08330538868904114,0.6219481229782104,0.8031347990036011,-0.05415444076061249,0.6147077679634094,0.7666142582893372,-0.07286730408668518,0.6079664826393127,0.7428868412971497,-0.07916577905416489,0.6035798788070679,0.7243233323097229,-0.08239567279815674,0.6335883736610413,0.7934316992759705,-0.04936470091342926,0.6285883188247681,0.7595157623291016,-0.06199650466442108,0.6257166862487793,0.7395281791687012,-0.06754092872142792,0.6236118078231812,0.722507655620575,-0.07153133302927017
33,  score: 0.8177070617675781,"  label: ""Left""",1056,0.46859797835350037,0.6759627461433411,-2.3615728423465043e-05,0.49446892738342285,0.6626641154289246,-0.008391303941607475,0.5051430463790894,0.6369115114212036,-0.008473563939332962,0.509373664855957,0.6127857565879822,-0.0016826328355818987,0.5135210156440735,0.5953429937362671,0.0062476214952766895,0.48802560567855835,0.6072211861610413,-0.0259840227663517,0.503365159034729,0.5770349502563477,-0.010074333287775517,0.5084138512611389,0.5896784067153931,0.0082608163356781,0.5060667395591736,0.6026980876922607,0.016771230846643448,0.4764704704284668,0.6048082113265991,-0.014826806262135506,0.49225273728370667,0.5775461196899414,0.006705668289214373,0.49807557463645935,0.589643120765686,0.024553196504712105,0.4972313344478607,0.6018298864364624,0.030628129839897156,0.4682672917842865,0.607440710067749,-0.0014757446479052305,0.48374563455581665,0.586452305316925,0.018493134528398514,0.48934000730514526,0.5975824594497681,0.02786199003458023,0.4880351722240448,0.6097866892814636,0.027400633320212364,0.4630693197250366,0.6122071743011475,0.01166590303182602,0.47572845220565796,0.5965093970298767,0.02541322447359562,0.4805454611778259,0.6032858490943909,0.030483577400445938,0.4800439774990082,0.6125929355621338,0.0316133126616478
34,  score: 0.7738855481147766,"  label: ""Left""",1089,0.4774010479450226,0.6652421355247498,-2.2256386728258803e-05,0.5020378828048706,0.6547173857688904,-0.006807423196732998,0.5126456022262573,0.6302030682563782,-0.006257259752601385,0.5168834328651428,0.6065593361854553,0.00024490905343554914,0.5216780304908752,0.589224100112915,0.007830045185983181,0.49934330582618713,0.5993043184280396,-0.020475568249821663,0.5139090418815613,0.5725312232971191,-0.004958465229719877,0.5186636447906494,0.5807145237922668,0.012958407402038574,0.5173019766807556,0.5908974409103394,0.02267715334892273,0.48808205127716064,0.596308708190918,-0.009594765491783619,0.5027679800987244,0.5714606046676636,0.01019528042525053,0.5087127089500427,0.5807239413261414,0.02821761928498745,0.5089610815048218,0.5906338095664978,0.036232177168130875,0.4797154366970062,0.5990775227546692,0.0034043530467897654,0.4942530393600464,0.5807842016220093,0.022188514471054077,0.49998778104782104,0.5897355675697327,0.03226078674197197,0.4998756945133209,0.599696695804596,0.034810420125722885,0.47439587116241455,0.6042919158935547,0.016063541173934937,0.486796110868454,0.5909525156021118,0.02918415330350399,0.4919655919075012,0.5960018038749695,0.035028912127017975,0.49191370606422424,0.6033680438995361,0.03794664144515991
