English,Dutch,No. participants,Mode of rep,Semantical category,pp01,pp02,pp03,pp04,pp05,pp06,pp07,pp08,pp09,pp10,pp11,pp12,pp13,pp14,pp15,pp16,pp17,pp18,MEAN
TO-POWDER,POEDEREN,17,acting,Action with object,3,5,5,2,7,4,1,3,5,4,5,6,6,3,3,6,2,5,4.17
TO-PULL,TREKKEN,19,acting,Action with object,3,6,6,4,6,5,6,6,7,6,4,7,7,5,2,6,4,5,5.28
DEER,HERT,11,personification,Animate ,3,6,5,2,5,7,6,5,4,7,4,2,7,4,1,3,1,2,4.11
CAMEL,KAMEEL,10,drawing,Animate ,1,5,2,2,5,3,2,1,3,1,4,4,5,2,1,3,1,5,2.78
TO-PUMP,OPPOMPEN,19,acting,Action with object,6,6,6,3,6,6,5,4,4,6,6,7,6,4,5,6,5,5,5.33
TO-CRY,HUILEN,13,acting,Action without object,7,7,6,6,7,6,7,5,7,7,7,7,7,6,7,7,7,5,6.56
BIRD,VOGEL,16,personification,Animate ,6,5,4,6,7,6,7,7,6,5,5,7,7,6,6,5,4,6,5.83
BOTTLE,FLES,10,drawing,Manipulable object,2,2,1,2,1,1,6,1,3,2,4,4,2,1,1,3,1,2,2.17
SPIDER,SPIN,14,representing,Animate ,1,2,2,2,2,1,4,1,2,2,4,4,2,2,1,2,3,2,2.17
LAPTOP,LAPTOP,19,acting,Manipulable object,3,6,4,3,3,4,2,4,3,3,4,4,3,5,3,6,5,4,3.83
BEER,BIER,20,acting,Non-manipulable object,2,6,4,2,4,3,1,2,3,1,2,4,3,3,2,3,1,3,2.72
TO-KNOW,WETEN,14,acting,Action without object,7,7,5,5,5,6,5,6,5,7,5,5,7,4,6,6,5,5,5.61
TO-SKI,SKI?N,18,acting,Action without object,4,4,4,3,4,2,3,5,2,4,3,5,4,2,1,2,2,3,3.17
MOTORBIKE,BROMMER,17,acting,Non-manipulable object,3,4,2,3,6,5,5,6,3,3,4,2,7,5,2,4,3,3,3.89
TEA,THEE,12,acting,Non-manipulable object,2,3,3,3,3,4,2,5,3,4,6,4,7,4,2,4,2,4,3.61
VIOLIN,VIOOL,20,acting,Manipulable object,4,3,6,6,7,6,6,7,7,6,7,6,7,7,6,6,5,6,6.00
TOOTHBRUSH,TANDENBORSTEL,20,acting,Manipulable object,7,5,6,6,6,6,6,7,6,6,5,5,7,6,6,7,5,5,5.94
WHEELCHAIR,ROLSTOEL,17,acting,Manipulable object,4,1,7,4,6,4,6,6,5,5,5,7,5,3,1,6,3,4,4.56
BABY,BABY,14,acting,Animate ,5,6,7,5,6,6,6,7,6,4,6,6,7,6,5,6,5,5,5.78
