"","begintime","endtime","coding","person","id"
"232",829526,829959,"Function","2",232
"233",830239,830793,"Function","2",233
"234",832595,836733,"writing","3",234
"235",837932,840169,"G-Enactment","3",235
"236",840169,840770,"Function","1",236
"237",842205,843173,"Builds","1",237
"238",843173,843807,"Function","1",238
"239",846517,848338,"writing","3",239
"240",848511,849512,"Function","1",240
"241",849512,850151,"Function","1",241
"242",850447,851548,"Function","1",242
"243",852615,853650,"Core Functionality","3",243
"244",855118,857387,"Builds","3",244
"245",857833,858354,"G-Level 3 - high","3",245
"246",858354,859656,"Core Functionality","1",246
"247",859752,864436,"writing","2",247
"248",864804,866822,"G-Level 3 - high","2",248
"249",873030,873234,"G-Pointing","2",249
"250",874437,879838,"Builds","2",250
"251",881419,884021,"G-Enactment","2",251
"252",884021,886626,"Builds","2",252
"253",889252,889760,"Builds","2",253
"254",891187,893823,"G-Enactment","2",254
"255",893823,894968,"Function","2",255
"256",897540,899129,"Function","2",256
"257",906836,914911,"Use Case Scenario","1",257
"258",916079,917113,"Use Case Scenario","3",258
"259",924613,928825,"G-Enactment","2",259
"260",939234,943606,"G-Enactment","2",260
"261",943606,944607,"Core Functionality","3",261
"262",945108,946409,"Builds","2",262
"263",946409,948778,"Function","2",263
"264",949178,951581,"Core Functionality","1",264
"265",959155,960370,"Use Case Scenario","3",265
"266",960370,961658,"Core Functionality","3",266
"267",961791,962659,"Function","3",267
"268",968269,969206,"G-Level 2 - middle","3",268
"269",979015,979032,"G-Level 1 - low","1",269
"270",979032,979513,"G-Enactment","1",270
"271",985900,987884,"writing","2",271
"272",987884,988818,"Function","3",272
"273",988830,990232,"Core Functionality","3",273
"274",998261,999329,"Function","2",274
"275",1000096,1001865,"Feature","2",275
"276",1006247,1007871,"G-Level 3 - high","2",276
"277",1007871,1008738,"Function","2",277
"278",1011908,1013510,"Function","2",278
"279",1013510,1014144,"Function","2",279
"280",1016012,1017713,"Function","2",280
"281",1021930,1022578,"Function","3",281
"282",1023353,1024287,"Function","3",282
"283",1025221,1026589,"G-Level 2 - middle","3",283
"284",1026589,1027924,"Function","3",284
"285",1028512,1028725,"Function","3",285
"286",1028725,1031360,"Use Case Scenario","3",286
"287",1033029,1038802,"Builds","1",287
"288",1045783,1046840,"Function","1",288
"289",1049541,1051627,"Core Functionality","1",289
"290",1055012,1055551,"G-Level 3 - high","2",290
"291",1055551,1056352,"Feature","2",291
"292",1058588,1059508,"Function","2",292
"293",1061891,1062792,"Function","2",293
"294",1064594,1066068,"Function","2",294
