x_l_wrist,y_l_wrist,z_l_wrist,x_l_thumb_00,y_l_thumb_00,z_l_thumb_00,x_l_thumb_01,y_l_thumb_01,z_l_thumb_01,x_l_thumb_02,y_l_thumb_02,z_l_thumb_02,x_l_thumb_03,y_l_thumb_03,z_l_thumb_03,x_l_index_00,y_l_index_00,z_l_index_00,x_l_index_01,y_l_index_01,z_l_index_01,x_l_index_02,y_l_index_02,z_l_index_02,x_l_index_03,y_l_index_03,z_l_index_03,x_l_middle_00,y_l_middle_00,z_l_middle_00,x_l_middle_01,y_l_middle_01,z_l_middle_01,x_l_middle_02,y_l_middle_02,z_l_middle_02,x_l_middle_03,y_l_middle_03,z_l_middle_03,x_l_ring_00,y_l_ring_00,z_l_ring_00,x_l_ring_01,y_l_ring_01,z_l_ring_01,x_l_ring_02,y_l_ring_02,z_l_ring_02,x_l_ring_03,y_l_ring_03,z_l_ring_03,x_l_little_00,y_l_little_00,z_l_little_00,x_l_little_01,y_l_little_01,z_l_little_01,x_l_little_02,y_l_little_02,z_l_little_02,x_l_little_03,y_l_little_03,z_l_little_03,x_r_wrist,y_r_wrist,z_r_wrist,x_r_thumb_00,y_r_thumb_00,z_r_thumb_00,x_r_thumb_01,y_r_thumb_01,z_r_thumb_01,x_r_thumb_02,y_r_thumb_02,z_r_thumb_02,x_r_thumb_03,y_r_thumb_03,z_r_thumb_03,x_r_index_00,y_r_index_00,z_r_index_00,x_r_index_01,y_r_index_01,z_r_index_01,x_r_index_02,y_r_index_02,z_r_index_02,x_r_index_03,y_r_index_03,z_r_index_03,x_r_middle_00,y_r_middle_00,z_r_middle_00,x_r_middle_01,y_r_middle_01,z_r_middle_01,x_r_middle_02,y_r_middle_02,z_r_middle_02,x_r_middle_03,y_r_middle_03,z_r_middle_03,x_r_ring_00,y_r_ring_00,z_r_ring_00,x_r_ring_01,y_r_ring_01,z_r_ring_01,x_r_ring_02,y_r_ring_02,z_r_ring_02,x_r_ring_03,y_r_ring_03,z_r_ring_03,x_r_little_00,y_r_little_00,z_r_little_00,x_r_little_01,y_r_little_01,z_r_little_01,x_r_little_02,y_r_little_02,z_r_little_02,x_r_little_03,y_r_little_03,z_r_little_03,x_nose,y_nose,z_nose,x_neck,y_neck,z_neck,x_rshoulder,y_rshoulder,z_rshoulder,x_relbow,y_relbow,z_relbow,x_rwrist,y_rwrist,z_rwrist,x_lshoulder,y_lshoulder,z_lshoulder,x_lelbow,y_lelbow,z_lelbow,x_lwrist,y_lwrist,z_lwrist,x_midhip,y_midhip,z_midhip,x_rhip,y_rhip,z_rhip,x_rknee,y_rknee,z_rknee,x_rankle,y_rankle,z_rankle,x_lhip,y_lhip,z_lhip
399.44915771484375,188.01019287109375,-77.02354431152344,385.30865478515625,179.88162231445312,-85.56692504882812,376.6324157714844,177.22634887695312,-91.62678527832031,371.19970703125,172.75881958007812,-97.68528747558594,371.23583984375,165.53016662597656,-106.50640869140625,383.1851806640625,159.05491638183594,-93.21318817138672,378.5458679199219,157.3666229248047,-103.45525360107422,376.4437255859375,164.69223022460938,-105.86083221435547,376.643310546875,173.2291259765625,-103.565673828125,390.7253723144531,155.564697265625,-96.64969635009766,386.4881591796875,156.62643432617188,-106.67086029052734,384.53094482421875,164.82337951660156,-106.83051300048828,383.297607421875,172.7229766845703,-102.41572570800781,399.5194396972656,159.01068115234375,-98.56304931640625,394.7694091796875,158.41061401367188,-107.58789825439453,392.04803466796875,166.4539794921875,-107.61151885986328,390.7884826660156,173.6459503173828,-104.29789733886719,405.79388427734375,163.60806274414062,-100.04914093017578,403.1581115722656,163.16397094726562,-106.64186096191406,400.30645751953125,169.08294677734375,-108.67340850830078,398.4214782714844,173.76564025878906,-104.9604263305664,399.44915771484375,188.01019287109375,-77.02354431152344,385.30865478515625,179.88162231445312,-85.56692504882812,376.6324157714844,177.22634887695312,-91.62678527832031,371.19970703125,172.75881958007812,-97.68528747558594,371.23583984375,165.53016662597656,-106.50640869140625,383.1851806640625,159.05491638183594,-93.21318817138672,378.5458679199219,157.3666229248047,-103.45525360107422,376.4437255859375,164.69223022460938,-105.86083221435547,376.643310546875,173.2291259765625,-103.565673828125,390.7253723144531,155.564697265625,-96.64969635009766,386.4881591796875,156.62643432617188,-106.67086029052734,384.53094482421875,164.82337951660156,-106.83051300048828,383.297607421875,172.7229766845703,-102.41572570800781,399.5194396972656,159.01068115234375,-98.56304931640625,394.7694091796875,158.41061401367188,-107.58789825439453,392.04803466796875,166.4539794921875,-107.61151885986328,390.7884826660156,173.6459503173828,-104.29789733886719,405.79388427734375,163.60806274414062,-100.04914093017578,403.1581115722656,163.16397094726562,-106.64186096191406,400.30645751953125,169.08294677734375,-108.67340850830078,398.4214782714844,173.76564025878906,-104.9604263305664,294.491455078125,142.31875610351562,-41.25720977783203,293.53265380859375,196.96481323242188,12.520766258239746,240.4759521484375,214.88778686523438,22.106647491455078,172.9005889892578,282.01458740234375,29.655431747436523,153.4979248046875,242.7001190185547,-45.689048767089844,359.2911376953125,201.3897705078125,0.334570050239563,436.1507568359375,247.70236206054688,-23.035884857177734,399.44915771484375,188.01019287109375,-77.02354431152344,296.06298828125,356.8360595703125,5.516355037689209,269.61126708984375,392.146728515625,1.9933855533599854,220.57769775390625,443.18902587890625,-97.40018463134766,244.95880126953125,558.714599609375,-23.666576385498047,312.6936340332031,392.2911682128906,-3.2565109729766846
398.19500732421875,188.0941162109375,-77.64114379882812,384.0063781738281,179.95193481445312,-86.07286834716797,375.56494140625,177.69943237304688,-92.62879180908203,370.1526794433594,173.79966735839844,-99.09359741210938,371.2701721191406,167.27059936523438,-108.27534484863281,382.0286560058594,159.23008728027344,-94.04391479492188,377.19464111328125,157.7746124267578,-104.24073791503906,375.044921875,165.2703857421875,-106.017822265625,375.7176818847656,173.34609985351562,-102.46580505371094,389.56378173828125,155.89891052246094,-97.6777572631836,385.059326171875,156.98426818847656,-107.5876235961914,383.105224609375,165.18467712402344,-107.29241943359375,382.1867370605469,172.458740234375,-101.90735626220703,398.2891845703125,159.4934844970703,-99.6829605102539,393.3299560546875,158.7285614013672,-108.5927505493164,390.5492248535156,166.7572479248047,-108.41255187988281,389.5195617675781,173.6439208984375,-104.43411254882812,404.48516845703125,164.1999969482422,-101.19821166992188,401.6238098144531,163.777099609375,-107.7083740234375,398.61920166015625,169.662841796875,-109.63715362548828,397.07110595703125,173.88265991210938,-105.3305435180664,398.19500732421875,188.0941162109375,-77.64114379882812,384.0063781738281,179.95193481445312,-86.07286834716797,375.56494140625,177.69943237304688,-92.62879180908203,370.1526794433594,173.79966735839844,-99.09359741210938,371.2701721191406,167.27059936523438,-108.27534484863281,382.0286560058594,159.23008728027344,-94.04391479492188,377.19464111328125,157.7746124267578,-104.24073791503906,375.044921875,165.2703857421875,-106.017822265625,375.7176818847656,173.34609985351562,-102.46580505371094,389.56378173828125,155.89891052246094,-97.6777572631836,385.059326171875,156.98426818847656,-107.5876235961914,383.105224609375,165.18467712402344,-107.29241943359375,382.1867370605469,172.458740234375,-101.90735626220703,398.2891845703125,159.4934844970703,-99.6829605102539,393.3299560546875,158.7285614013672,-108.5927505493164,390.5492248535156,166.7572479248047,-108.41255187988281,389.5195617675781,173.6439208984375,-104.43411254882812,404.48516845703125,164.1999969482422,-101.19821166992188,401.6238098144531,163.777099609375,-107.7083740234375,398.61920166015625,169.662841796875,-109.63715362548828,397.07110595703125,173.88265991210938,-105.3305435180664,292.86846923828125,143.7137451171875,-36.78895950317383,294.01959228515625,198.46417236328125,16.592178344726562,241.55279541015625,215.64410400390625,27.874771118164062,174.47003173828125,282.99127197265625,36.79195022583008,152.60154724121094,241.93853759765625,-36.88497543334961,359.00250244140625,202.45291137695312,2.169630289077759,433.86029052734375,249.6906280517578,-25.188024520874023,398.19500732421875,188.0941162109375,-77.64114379882812,295.6983337402344,358.3009338378906,5.462666034698486,269.11126708984375,393.3524169921875,1.5122580528259277,217.87521362304688,440.868896484375,-98.30398559570312,240.6727752685547,563.7275390625,-37.41462707519531,311.8658752441406,393.5574645996094,-4.438205718994141
398.9706115722656,185.65866088867188,-76.92138671875,384.410400390625,177.60775756835938,-85.5055160522461,375.6469421386719,175.07278442382812,-91.84278106689453,370.0332946777344,170.96371459960938,-98.22881317138672,370.79376220703125,164.32785034179688,-107.64251708984375,382.0616149902344,156.55618286132812,-93.57847595214844,377.07818603515625,155.3188018798828,-103.9446792602539,375.1759033203125,163.0463104248047,-105.61272430419922,376.21087646484375,171.0372314453125,-101.70033264160156,389.6717529296875,153.03424072265625,-97.25970458984375,385.12274169921875,154.57595825195312,-107.29193115234375,383.3728332519531,162.9601287841797,-106.86450958251953,382.6789245605469,170.05584716796875,-101.03153991699219,398.6077880859375,156.537109375,-99.29464721679688,393.4830322265625,156.25013732910156,-108.33833312988281,390.9219970703125,164.48797607421875,-107.83993530273438,390.1343994140625,171.17860412597656,-103.33097076416016,404.9897766113281,161.21530151367188,-100.83465576171875,401.98095703125,161.2785186767578,-107.4263916015625,399.0965881347656,167.47921752929688,-108.92417907714844,397.80560302734375,171.46902465820312,-104.2567138671875,398.9706115722656,185.65866088867188,-76.92138671875,384.410400390625,177.60775756835938,-85.5055160522461,375.6469421386719,175.07278442382812,-91.84278106689453,370.0332946777344,170.96371459960938,-98.22881317138672,370.79376220703125,164.32785034179688,-107.64251708984375,382.0616149902344,156.55618286132812,-93.57847595214844,377.07818603515625,155.3188018798828,-103.9446792602539,375.1759033203125,163.0463104248047,-105.61272430419922,376.21087646484375,171.0372314453125,-101.70033264160156,389.6717529296875,153.03424072265625,-97.25970458984375,385.12274169921875,154.57595825195312,-107.29193115234375,383.3728332519531,162.9601287841797,-106.86450958251953,382.6789245605469,170.05584716796875,-101.03153991699219,398.6077880859375,156.537109375,-99.29464721679688,393.4830322265625,156.25013732910156,-108.33833312988281,390.9219970703125,164.48797607421875,-107.83993530273438,390.1343994140625,171.17860412597656,-103.33097076416016,404.9897766113281,161.21530151367188,-100.83465576171875,401.98095703125,161.2785186767578,-107.4263916015625,399.0965881347656,167.47921752929688,-108.92417907714844,397.80560302734375,171.46902465820312,-104.2567138671875,292.7628479003906,142.02101135253906,-37.66746139526367,294.0547180175781,197.9567413330078,16.935911178588867,240.5096435546875,215.85452270507812,27.729551315307617,173.9052734375,285.9840087890625,36.40500259399414,150.91529846191406,245.36074829101562,-38.89724349975586,360.24017333984375,201.30543518066406,2.5774881839752197,437.0343017578125,248.4200439453125,-25.0085506439209,398.9706115722656,185.65866088867188,-76.92138671875,297.220458984375,359.7276611328125,5.5588603019714355,270.5041809082031,395.47198486328125,0.6160489916801453,221.7049560546875,440.3149719238281,-103.85946655273438,247.6951904296875,565.0770263671875,-43.07329177856445,314.0933532714844,395.2303161621094,-4.954505920410156
398.9427490234375,187.59298706054688,-78.16326904296875,384.4783630371094,179.61294555664062,-86.81192779541016,375.9771423339844,177.58221435546875,-93.59909057617188,370.3680725097656,174.0381622314453,-100.27214050292969,371.9141540527344,167.81454467773438,-109.75365447998047,382.1994934082031,158.71090698242188,-95.04548645019531,377.3194274902344,157.38404846191406,-105.4056167602539,375.2726745605469,165.06077575683594,-107.00210571289062,376.2578125,172.96844482421875,-102.94657897949219,389.79364013671875,155.25357055664062,-98.73049926757812,385.2129821777344,156.43565368652344,-108.7549057006836,383.3703308105469,164.769775390625,-108.313720703125,382.6639709472656,171.7345733642578,-102.37843322753906,398.68902587890625,158.78250122070312,-100.709228515625,393.5787658691406,158.09024047851562,-109.69617462158203,390.9247741699219,166.27528381347656,-109.35559844970703,390.2007141113281,172.9248046875,-104.81888580322266,405.0382080078125,163.4707794189453,-102.18993377685547,402.0887451171875,163.14320373535156,-108.77108764648438,399.110595703125,169.17825317382812,-110.6087875366211,397.8104248046875,173.1356201171875,-105.95185089111328,398.9427490234375,187.59298706054688,-78.16326904296875,384.4783630371094,179.61294555664062,-86.81192779541016,375.9771423339844,177.58221435546875,-93.59909057617188,370.3680725097656,174.0381622314453,-100.27214050292969,371.9141540527344,167.81454467773438,-109.75365447998047,382.1994934082031,158.71090698242188,-95.04548645019531,377.3194274902344,157.38404846191406,-105.4056167602539,375.2726745605469,165.06077575683594,-107.00210571289062,376.2578125,172.96844482421875,-102.94657897949219,389.79364013671875,155.25357055664062,-98.73049926757812,385.2129821777344,156.43565368652344,-108.7549057006836,383.3703308105469,164.769775390625,-108.313720703125,382.6639709472656,171.7345733642578,-102.37843322753906,398.68902587890625,158.78250122070312,-100.709228515625,393.5787658691406,158.09024047851562,-109.69617462158203,390.9247741699219,166.27528381347656,-109.35559844970703,390.2007141113281,172.9248046875,-104.81888580322266,405.0382080078125,163.4707794189453,-102.18993377685547,402.0887451171875,163.14320373535156,-108.77108764648438,399.110595703125,169.17825317382812,-110.6087875366211,397.8104248046875,173.1356201171875,-105.95185089111328,292.4163513183594,141.81874084472656,-38.50412368774414,294.2351379394531,198.398681640625,15.237226486206055,240.99273681640625,216.23828125,25.899036407470703,175.1339111328125,286.6363220214844,34.36250305175781,152.5233612060547,246.57028198242188,-40.986427307128906,360.205322265625,201.61705017089844,1.214705228805542,436.528076171875,249.43115234375,-25.354658126831055,398.9427490234375,187.59298706054688,-78.16326904296875,298.0012512207031,359.582275390625,5.490885257720947,271.5226745605469,395.3050537109375,0.9666491746902466,221.68930053710938,439.28070068359375,-102.86471557617188,246.73289489746094,564.068359375,-42.99020004272461,314.90850830078125,395.00927734375,-4.499139785766602
398.49395751953125,189.2208251953125,-83.13951873779297,384.38299560546875,181.3167724609375,-91.22978210449219,375.8869934082031,179.12271118164062,-97.42765808105469,370.23828125,175.35092163085938,-103.55015563964844,370.5042724609375,168.818359375,-112.55684661865234,382.05712890625,160.83657836914062,-98.7165756225586,377.23553466796875,159.27296447753906,-108.7099838256836,375.140625,166.56680297851562,-110.81704711914062,375.79986572265625,174.66404724121094,-107.85911560058594,389.40185546875,157.3756561279297,-102.25992584228516,384.9176025390625,158.1094970703125,-112.02578735351562,383.03118896484375,166.1987762451172,-111.99142456054688,382.1470031738281,173.5680389404297,-107.07178497314453,398.0382995605469,160.73875427246094,-104.32854461669922,393.07550048828125,159.7404022216797,-113.0235595703125,390.3973388671875,167.66561889648438,-113.01394653320312,389.4195251464844,174.52572631835938,-109.32425689697266,404.2048034667969,165.24337768554688,-105.92802429199219,401.3387145996094,164.57386779785156,-112.28330993652344,398.38677978515625,170.34048461914062,-114.26681518554688,396.8085632324219,174.6922607421875,-110.31476593017578,398.49395751953125,189.2208251953125,-83.13951873779297,384.38299560546875,181.3167724609375,-91.22978210449219,375.8869934082031,179.12271118164062,-97.42765808105469,370.23828125,175.35092163085938,-103.55015563964844,370.5042724609375,168.818359375,-112.55684661865234,382.05712890625,160.83657836914062,-98.7165756225586,377.23553466796875,159.27296447753906,-108.7099838256836,375.140625,166.56680297851562,-110.81704711914062,375.79986572265625,174.66404724121094,-107.85911560058594,389.40185546875,157.3756561279297,-102.25992584228516,384.9176025390625,158.1094970703125,-112.02578735351562,383.03118896484375,166.1987762451172,-111.99142456054688,382.1470031738281,173.5680389404297,-107.07178497314453,398.0382995605469,160.73875427246094,-104.32854461669922,393.07550048828125,159.7404022216797,-113.0235595703125,390.3973388671875,167.66561889648438,-113.01394653320312,389.4195251464844,174.52572631835938,-109.32425689697266,404.2048034667969,165.24337768554688,-105.92802429199219,401.3387145996094,164.57386779785156,-112.28330993652344,398.38677978515625,170.34048461914062,-114.26681518554688,396.8085632324219,174.6922607421875,-110.31476593017578,296.737060546875,145.092529296875,-41.28246307373047,295.88616943359375,199.6798858642578,10.610543251037598,244.98060607910156,217.44122314453125,23.336519241333008,180.47341918945312,285.4851989746094,29.317848205566406,162.28770446777344,238.06956481933594,-39.68415069580078,359.76983642578125,203.17823791503906,-4.547506809234619,433.11309814453125,250.114501953125,-31.664188385009766,398.49395751953125,189.2208251953125,-83.13951873779297,301.6300354003906,359.02374267578125,5.356257915496826,276.8472900390625,394.9376220703125,5.197286605834961,223.49862670898438,455.69378662109375,-83.4458999633789,253.01541137695312,569.1654052734375,-13.022000312805176,318.9314270019531,393.8243408203125,-2.0879480838775635
397.2886962890625,190.2845916748047,-87.53402709960938,383.2355651855469,182.34381103515625,-95.51468658447266,374.741943359375,180.3475799560547,-101.69044494628906,369.25555419921875,176.62925720214844,-107.9231185913086,369.84027099609375,170.26853942871094,-116.92062377929688,380.947998046875,161.9312744140625,-102.8926010131836,376.224853515625,160.5453643798828,-112.89444732666016,374.1095886230469,167.8064422607422,-114.94178009033203,374.6138916015625,175.82000732421875,-111.90320587158203,388.25006103515625,158.49481201171875,-106.43540954589844,383.7827453613281,159.5103302001953,-116.12334442138672,381.96929931640625,167.57142639160156,-115.95751953125,381.1183166503906,174.85362243652344,-111.00139617919922,396.8251037597656,161.85646057128906,-108.5353775024414,391.8329162597656,161.1013641357422,-117.18048095703125,389.2280578613281,169.00234985351562,-116.9277572631836,388.3057861328125,175.70095825195312,-113.08234405517578,402.9420471191406,166.3494415283203,-110.16140747070312,400.0335998535156,165.8974609375,-116.47967529296875,397.0090637207031,171.62916564941406,-118.33363342285156,395.28997802734375,175.9541015625,-114.44760131835938,397.2886962890625,190.2845916748047,-87.53402709960938,383.2355651855469,182.34381103515625,-95.51468658447266,374.741943359375,180.3475799560547,-101.69044494628906,369.25555419921875,176.62925720214844,-107.9231185913086,369.84027099609375,170.26853942871094,-116.92062377929688,380.947998046875,161.9312744140625,-102.8926010131836,376.224853515625,160.5453643798828,-112.89444732666016,374.1095886230469,167.8064422607422,-114.94178009033203,374.6138916015625,175.82000732421875,-111.90320587158203,388.25006103515625,158.49481201171875,-106.43540954589844,383.7827453613281,159.5103302001953,-116.12334442138672,381.96929931640625,167.57142639160156,-115.95751953125,381.1183166503906,174.85362243652344,-111.00139617919922,396.8251037597656,161.85646057128906,-108.5353775024414,391.8329162597656,161.1013641357422,-117.18048095703125,389.2280578613281,169.00234985351562,-116.9277572631836,388.3057861328125,175.70095825195312,-113.08234405517578,402.9420471191406,166.3494415283203,-110.16140747070312,400.0335998535156,165.8974609375,-116.47967529296875,397.0090637207031,171.62916564941406,-118.33363342285156,395.28997802734375,175.9541015625,-114.44760131835938,295.9469909667969,144.52635192871094,-43.14453125,298.0156555175781,199.21435546875,8.352030754089355,247.98912048339844,217.29141235351562,23.153583526611328,185.14967346191406,286.0081481933594,31.571338653564453,164.0930633544922,237.5557403564453,-35.39345169067383,361.2167663574219,202.6824188232422,-8.85942268371582,432.6541748046875,251.03514099121094,-37.04958724975586,397.2886962890625,190.2845916748047,-87.53402709960938,304.3545227050781,357.460205078125,5.3581461906433105,279.7899169921875,393.1579895019531,6.736173629760742,223.9212646484375,454.75225830078125,-78.92057037353516,256.2740478515625,565.2413940429688,-6.23103666305542,321.2835693359375,392.1333923339844,-2.155256986618042
396.93035888671875,188.54177856445312,-86.55164337158203,382.9920654296875,180.7769775390625,-94.70269775390625,374.7233581542969,179.00836181640625,-101.15758514404297,369.2780456542969,175.62210083007812,-107.54407501220703,370.01019287109375,169.60452270507812,-116.71504211425781,380.75091552734375,160.5701141357422,-102.32809448242188,376.2177734375,159.51345825195312,-112.39285278320312,374.2024841308594,166.7914581298828,-114.31991577148438,374.6665954589844,174.74050903320312,-111.17982482910156,388.0418395996094,157.18740844726562,-105.84428405761719,383.7254638671875,158.5094757080078,-115.50186157226562,381.9512634277344,166.5322723388672,-115.26236724853516,381.0534362792969,173.6639404296875,-110.18389129638672,396.5970458984375,160.54635620117188,-107.82451629638672,391.65673828125,160.05963134765625,-116.46096801757812,389.0996398925781,167.92581176757812,-116.07489776611328,388.2350769042969,174.51971435546875,-112.07598114013672,402.703125,165.02928161621094,-109.33621978759766,399.8487854003906,164.6903839111328,-115.65040588378906,396.7933654785156,170.39675903320312,-117.408203125,395.10870361328125,174.58058166503906,-113.3706283569336,396.93035888671875,188.54177856445312,-86.55164337158203,382.9920654296875,180.7769775390625,-94.70269775390625,374.7233581542969,179.00836181640625,-101.15758514404297,369.2780456542969,175.62210083007812,-107.54407501220703,370.01019287109375,169.60452270507812,-116.71504211425781,380.75091552734375,160.5701141357422,-102.32809448242188,376.2177734375,159.51345825195312,-112.39285278320312,374.2024841308594,166.7914581298828,-114.31991577148438,374.6665954589844,174.74050903320312,-111.17982482910156,388.0418395996094,157.18740844726562,-105.84428405761719,383.7254638671875,158.5094757080078,-115.50186157226562,381.9512634277344,166.5322723388672,-115.26236724853516,381.0534362792969,173.6639404296875,-110.18389129638672,396.5970458984375,160.54635620117188,-107.82451629638672,391.65673828125,160.05963134765625,-116.46096801757812,389.0996398925781,167.92581176757812,-116.07489776611328,388.2350769042969,174.51971435546875,-112.07598114013672,402.703125,165.02928161621094,-109.33621978759766,399.8487854003906,164.6903839111328,-115.65040588378906,396.7933654785156,170.39675903320312,-117.408203125,395.10870361328125,174.58058166503906,-113.3706283569336,295.2340393066406,144.2517852783203,-42.94917297363281,297.29461669921875,198.63885498046875,8.327028274536133,247.19529724121094,216.2896728515625,22.6437931060791,183.34686279296875,283.27508544921875,31.843496322631836,161.67291259765625,237.7706298828125,-36.3880729675293,360.20318603515625,202.19537353515625,-8.296116828918457,432.705810546875,248.28749084472656,-35.962459564208984,396.93035888671875,188.54177856445312,-86.55164337158203,302.2623291015625,356.3970031738281,5.338533878326416,277.689208984375,391.79132080078125,6.935217380523682,225.13882446289062,457.7696533203125,-76.44915771484375,255.74734497070312,569.3828735351562,-6.366095066070557,319.00811767578125,391.0129699707031,-1.6868809461593628
396.5107727050781,189.50601196289062,-87.83354187011719,382.56353759765625,181.74217224121094,-95.91267395019531,374.3291015625,180.07046508789062,-102.40555572509766,368.841552734375,176.72140502929688,-108.75165557861328,369.4023132324219,170.52145385742188,-117.8041000366211,380.3291320800781,161.59030151367188,-103.58092498779297,375.75714111328125,160.45806884765625,-113.59676361083984,373.63690185546875,167.671142578125,-115.59478759765625,373.9541015625,175.7325439453125,-112.70486450195312,387.5916442871094,158.24412536621094,-107.14936828613281,383.1828308105469,159.3828887939453,-116.7665023803711,381.33642578125,167.37533569335938,-116.59819793701172,380.3710021972656,174.6934356689453,-111.787841796875,396.1086120605469,161.62527465820312,-109.16883087158203,391.1407470703125,160.92172241210938,-117.75375366210938,388.49884033203125,168.7496337890625,-117.51836395263672,387.5455017089844,175.51080322265625,-113.81761932373047,402.18170166015625,166.12078857421875,-110.70026397705078,399.34100341796875,165.60528564453125,-116.99520874023438,396.24188232421875,171.2173309326172,-118.9246826171875,394.4429931640625,175.57400512695312,-115.0950927734375,396.5107727050781,189.50601196289062,-87.83354187011719,382.56353759765625,181.74217224121094,-95.91267395019531,374.3291015625,180.07046508789062,-102.40555572509766,368.841552734375,176.72140502929688,-108.75165557861328,369.4023132324219,170.52145385742188,-117.8041000366211,380.3291320800781,161.59030151367188,-103.58092498779297,375.75714111328125,160.45806884765625,-113.59676361083984,373.63690185546875,167.671142578125,-115.59478759765625,373.9541015625,175.7325439453125,-112.70486450195312,387.5916442871094,158.24412536621094,-107.14936828613281,383.1828308105469,159.3828887939453,-116.7665023803711,381.33642578125,167.37533569335938,-116.59819793701172,380.3710021972656,174.6934356689453,-111.787841796875,396.1086120605469,161.62527465820312,-109.16883087158203,391.1407470703125,160.92172241210938,-117.75375366210938,388.49884033203125,168.7496337890625,-117.51836395263672,387.5455017089844,175.51080322265625,-113.81761932373047,402.18170166015625,166.12078857421875,-110.70026397705078,399.34100341796875,165.60528564453125,-116.99520874023438,396.24188232421875,171.2173309326172,-118.9246826171875,394.4429931640625,175.57400512695312,-115.0950927734375,295.08447265625,144.853759765625,-45.540626525878906,297.0504455566406,198.69839477539062,6.276071071624756,246.91531372070312,215.80972290039062,20.713165283203125,183.16860961914062,282.592529296875,30.64043617248535,160.6481170654297,237.0764923095703,-37.14823532104492,359.73797607421875,202.45135498046875,-9.912875175476074,432.46331787109375,248.45957946777344,-36.663291931152344,396.5107727050781,189.50601196289062,-87.83354187011719,300.7544860839844,355.913330078125,5.325536727905273,275.86273193359375,390.9542541503906,7.104968070983887,222.4029541015625,455.1501770019531,-76.79248809814453,251.6300506591797,565.9862060546875,-5.3297505378723145,317.13275146484375,390.66632080078125,-1.3813707828521729
394.59637451171875,186.58450317382812,-88.99705505371094,379.9529724121094,178.63388061523438,-97.54456329345703,371.23077392578125,176.76239013671875,-104.2063217163086,365.4173583984375,173.088134765625,-110.69356536865234,365.576416015625,166.42385864257812,-120.15077209472656,377.470458984375,157.53103637695312,-105.50288391113281,372.69256591796875,156.302978515625,-115.99114227294922,370.52008056640625,163.84800720214844,-118.16312408447266,370.8592529296875,172.35015869140625,-115.30264282226562,385.0849609375,153.92713928222656,-109.1727523803711,380.5470886230469,155.1085662841797,-119.28392791748047,378.6229248046875,163.4802703857422,-119.17192840576172,377.5638427734375,171.249755859375,-114.24913787841797,394.0771484375,157.3570098876953,-111.22570037841797,388.8905334472656,156.59620666503906,-120.23596954345703,386.16497802734375,164.8158416748047,-120.11357879638672,385.1429138183594,171.9955596923828,-116.39241027832031,400.5145263671875,161.98748779296875,-112.79041290283203,397.5294494628906,161.43873596191406,-119.40001678466797,394.3891296386719,167.37257385253906,-121.4564208984375,392.56219482421875,172.08364868164062,-117.55703735351562,394.59637451171875,186.58450317382812,-88.99705505371094,379.9529724121094,178.63388061523438,-97.54456329345703,371.23077392578125,176.76239013671875,-104.2063217163086,365.4173583984375,173.088134765625,-110.69356536865234,365.576416015625,166.42385864257812,-120.15077209472656,377.470458984375,157.53103637695312,-105.50288391113281,372.69256591796875,156.302978515625,-115.99114227294922,370.52008056640625,163.84800720214844,-118.16312408447266,370.8592529296875,172.35015869140625,-115.30264282226562,385.0849609375,153.92713928222656,-109.1727523803711,380.5470886230469,155.1085662841797,-119.28392791748047,378.6229248046875,163.4802703857422,-119.17192840576172,377.5638427734375,171.249755859375,-114.24913787841797,394.0771484375,157.3570098876953,-111.22570037841797,388.8905334472656,156.59620666503906,-120.23596954345703,386.16497802734375,164.8158416748047,-120.11357879638672,385.1429138183594,171.9955596923828,-116.39241027832031,400.5145263671875,161.98748779296875,-112.79041290283203,397.5294494628906,161.43873596191406,-119.40001678466797,394.3891296386719,167.37257385253906,-121.4564208984375,392.56219482421875,172.08364868164062,-117.55703735351562,289.90216064453125,143.34031677246094,-52.69426345825195,289.6318359375,196.17144775390625,4.937067031860352,235.4222412109375,212.85391235351562,15.400899887084961,169.15994262695312,283.38189697265625,23.183671951293945,145.59378051757812,237.57135009765625,-48.83872604370117,355.92584228515625,200.14344787597656,-7.366264820098877,433.62835693359375,246.1247100830078,-34.17703628540039,394.59637451171875,186.58450317382812,-88.99705505371094,291.79840087890625,359.4245910644531,5.636789798736572,265.74481201171875,395.8282165527344,3.654218912124634,224.8154296875,459.05194091796875,-93.67830657958984,248.67198181152344,567.9488525390625,-8.016300201416016,309.4969177246094,395.55517578125,0.3029022514820099
